net,length_um
rf._02712_,112.14
rf._01564_,111.86
rf._02060_,111.86
rf._04299_,111.84
rf._01336_,111.74
rf._03765_,111.68
rf._02680_,111.14
rf._04207_,111.14
rf._02761_,110.9
rf._04476_,110.72
alu_inst._054_,110.54
clknet_leaf_140_clk,110.52
rf._01898_,110.28
clknet_leaf_149_clk,109.98
rf._04060_,108.72
rf._03202_,108.44
rf._03992_,108.18
rf._04538_,108.13
net34,108.08
rf._01952_,108.06
rf._02149_,107.66
rf._02995_,107.52
clknet_leaf_134_clk,107.24
net19,106.82
rf._02334_,106.72
rf._02945_,106.58
rf._03048_,106.34
rf._03096_,105.98
rf._04543_,105.84
rf._02394_,105.76
rf._03979_,105.66
rf._02467_,105.58
rf._03735_,105.52
rf.regs\[30\]\[31\],105.46
rf._03152_,105.2
rf.regs\[30\]\[23\],104.94
rf._04007_,104.84
rf._04111_,104.72
rf._02224_,104.68
rf._04418_,104.44
clknet_leaf_14_clk,103.92
net39,103.86
rf._03980_,103.78
rf._02565_,103.66
clknet_leaf_100_clk,103.46
rf._02491_,103.36
rf._04254_,103.26
rf._04158_,103.24
rf._01289_,103.2
_038_,102.62
rf._03415_,102.3
rf._03150_,102.22
rf._03685_,102.18
rf._03367_,102.14
rf._03307_,101.42
rf._01391_,101.38
rf._03258_,101.36
rf._04205_,101.3
rf._03658_,101.18
rf._04723_,100.96
rf._02233_,100.92
clknet_leaf_118_clk,100.895
clknet_leaf_117_clk,100.82
rf._04760_,100.8
alu_inst.y\[23\],100.72
rf._03710_,100.38
rf._01455_,100.26
rf._03305_,100.24
rf._04086_,100.04
rf._02631_,99.92
rf._01782_,99.84
rf._01427_,99.72
rf._02386_,99.56
rf.regs\[30\]\[22\],99.42
rf._03200_,99.1
rf._01834_,98.35
rf._02718_,98.32
rf._01098_,98.3
rf._01711_,98.3
clknet_leaf_143_clk,98.28
rf._03816_,98.22
rf._02150_,97.68
rf._04035_,97.62
rf._04539_,97.08
rf._01173_,97
rf._03447_,96.88
rf._02166_,96.78
clknet_leaf_112_clk,96.74
